Question (Generative Setup),Answer (Generative Setup),Positive (Minimal Pairs Setup),Negative (Minimal Pairs Setup),Challenge Set
När man lever så man precis klarar sig ekonomiskt lever man ur hand i...,Mun,När man lever så man precis klarar sig ekonomiskt lever man ur hand i mun.,När man lever så man precis klarar sig ekonomiskt lever man ur hand i magen.,
Någon som är redo att börja ligger i...,Startgroparna,Någon som är redo att börja ligger i startgroparna.,Någon som är redo att börja ligger i skon.,
Något som pekar emot något ligger i det här för det.,Fatet,Något som pekar emot något ligger i fatet för det.,Något som pekar emot något ligger i pannan för det.,
När man lovar mer än man kan hålla då lovar man det här och gröna skogar? ,Guld,När man lovar mer än man kan hålla då lovar man guld och gröna skogar.,När man lovar mer än man kan hålla då lovar man mjölk och gröna skogar.,
En person som har tur i något är lyckans...,Ost,En person som har tur i något är lyckans ost.,En person som har tur i något är lyckans svamp.,x
Att uppmärksammas när man inte deltar är att lysa med sin...,Frånvaro,Att uppmärksammas när man inte deltar är att lysa med sin frånvaro.,Att uppmärksammas när man inte deltar är att lysa med sin avgång.,
När man riskerar att förlora allt genom att inte sprida riskerna lägger man alla dessa i samma korg? ,Ägg,När man riskerar att förlora allt genom att inte sprida riskerna lägger man alla ägg i samma korg.,När man riskerar att förlora allt genom att inte sprida riskerna lägger man alla nycklar i samma korg.,
När man förvarar något för senare användning då lägger man det i ,Malpåse,När man förvarar något för senare användning då lägger man det i malpåse.,När man förvarar något för senare användning då lägger man det i påsen.,
När man berättar hela sanningen lägger man fram alla dessa på bordet.,Korten,När man berättar hela sanningen lägger man fram alla korten på bordet.,När man berättar hela sanningen lägger man fram alla planer på bordet.,
När man anstränger sig hårt för att lösa en viss uppgift lägger man vad till? ,Manken,När man anstränger sig hårt för att lösa en viss uppgift lägger man manken till.,När man anstränger sig hårt för att lösa en viss uppgift lägger man smöret till.,
När man sätter ett projekt eller en verksamhet på paus eller inte aktivt fortsätter med det så lägger man det på... ,"Hyllan, Is",När man sätter ett projekt eller en verksamhet på paus eller inte aktivt fortsätter med det så lägger man det på hyllan.,När man sätter ett projekt eller en verksamhet på paus eller inte aktivt fortsätter med det så lägger man det på vinden.,
När man lägger sig i sådant man inte har att göra med då lägger man näsan i ,Blöt,När man lägger sig i sådant man inte har att göra med då lägger man näsan i blöt.,När man lägger sig i sådant man inte har att göra med då lägger man näsan i något.,
Att grundlöst hävda att någon sagt något eller feltolka vad som blivit sagt är att lägga ord i någons...,Mun,Att grundlöst hävda att någon sagt något eller feltolka vad som blivit sagt är att lägga ord i någons mun.,Att grundlöst hävda att någon sagt något eller feltolka vad som blivit sagt är att lägga ord i någons röst.,
När man börjar springa snabbt eller att skynda sig då lägger man på en,Rem,När man börjar springa snabbt eller att skynda sig då lägger man på en rem.,När man börjar springa snabbt eller att skynda sig då lägger man på en tygel.,
När man överger någon som är i fara lämnar man hen i ,Sticket,När man överger någon som är i fara lämnar man hen i sticket.,När man överger någon som är i fara lämnar man hen i faran.,
När man förstår vad som egentligen avses fast den som framför budskapet av olika anledningar inte uttryckt det i klartext då läser man mellan...,Raderna,När man förstår vad som egentligen avses fast den som framför budskapet av olika anledningar inte uttryckt det i klartext då läser man mellan raderna.,När man förstår vad som egentligen avses fast den som framför budskapet av olika anledningar inte uttryckt det i klartext då läser man mellan orden.,
Ett talesätt bland aktiehandlare är att man ska köpa till sillen och sälja till...,Kräftorna,Ett talesätt bland aktiehandlare är att man ska köpa till sillen och sälja till kräftorna.,Ett talesätt bland aktiehandlare är att man ska köpa till sillen och sälja till fisken.,x
Om man inte har tillgång till något annat så tager man vad man...,Haver,Om man inte har tillgång till något annat så tager man vad man haver.,Om man inte har tillgång till något annat så tager man vad man har.,x
"Något man knappt, med ytterst svårighet, klarar, det klarar man med nöd och...",Näppe,"Något man knappt, med ytterst svårighet, klarar, det klarar man med nöd och näppe.","Något man knappt, med ytterst svårighet, klarar, det klarar man med nöd och ansträngning.",
När man talar med varandra i förtroende sker det mellan fyra...,Ögon,När man talar med varandra i förtroende sker det mellan fyra ögon.,När man talar med varandra i förtroende sker det mellan fyra öron.,
När man talar med varandra i enrum så sker det mellan skål och...,Vägg,När man talar med varandra i enrum så sker det mellan skål och vägg.,När man talar med varandra i enrum så sker det mellan skål och dörr.,
När båda kompromissar lika mycket så möts de på halva...,Vägen,När båda kompromissar lika mycket så möts de på halva vägen.,När båda kompromissar lika mycket så möts de på halva mitten.,
När någon plötsligt kommit till insikt om innebörden av ett problem så trillar denna ner.,Poletten,När någon plötsligt kommit till insikt om innebörden av ett problem så trillar poletten ner.,När någon plötsligt kommit till insikt om innebörden av ett problem så trillar mynten ner.,
När det är mycket brådskande att hitta en lösning på ett problem är goda råd...,Dyra,När det är mycket brådskande att hitta en lösning på ett problem är goda råd dyra.,När det är mycket brådskande att hitta en lösning på ett problem är goda råd svåra.,
När man är ute i ett okänt område är man ute på okänt,Vatten,När man är ute i ett okänt område är man ute på okänt vatten.,När man är ute i ett okänt område är man ute på okänt väg.,
När det verkligen gäller kommer det till...,Kritan,När det verkligen gäller kommer det till kritan.,När det verkligen gäller kommer det till kornet.,
Något problematiskt som måste lösas är en sådan att knäcka.,Nöt,Något problematiskt som måste lösas är en nöt att knäcka.,Något problematiskt som måste lösas är en skall att knäcka.,
"När man fatter det viktigaste beslutet, som inte kan ifrågasättas då visar man var ett sådant ska stå. ",Skapet ,"När man fattar det viktigaste beslutet, som inte kan ifrågasättas då visar man var skåpet ska stå.","När man fattar det viktigaste beslutet, som inte kan ifrågasättas då visar man var huset ska stå.",
Den siste kvarvarande försvararen är siste man på,Skansen,Den siste kvarvarande försvararen är siste man på skansen.,Den siste kvarvarande försvararen är siste man på borgen.,x
När man sätter igång med något skrider man på,Verket,När man sätter igång med något skrider man till verket.,När man sätter igång med något skrider man till stallet.,
Något som är osäkert är skrivet i,Stjärnorna,Något som är osäkert är skrivet i stjärnorna.,Något som är osäkert är skrivet i himlen.,
När man säger sin mening rakt på sak skräder man inte,Orden,När man säger sin mening rakt på sak skräder man inte orden.,När man säger sin mening rakt på sak skräder man inte talet.,
Det viktigaste argumentet som avgör en diskussion är den springande,Punkten,Det viktigaste argumentet som avgör en diskussion är den springande punkten.,Det viktigaste argumentet som avgör en diskussion är den springande sanningen.,
När man ärver eller tar över ett stort ansvar har man stora vad att fylla? ,Skor,När man ärver eller tar över ett stort ansvar har man stora skor att fylla.,När man ärver eller tar över ett stort ansvar har man stora kläder att fylla.,
Någon som ha tillräcklig styrka för att klara påfrestningar står,Pall,Någon som har tillräcklig styrka för att klara påfrestningar står pall.,Någon som har tillräcklig styrka för att klara påfrestningar står fast.,
När man berättar om sådant som hållits hemligt tar man vad från munnen? ,Bladet,När man berättar om sådant som hållits hemligt tar man bladet från munnen.,När man berättar om sådant som hållits hemligt tar man låset från munnen.,
När man fullständigt förstör något tar man vad på det? ,Kål,När man fullständigt förstör något tar man kål på det.,När man fullständigt förstör något tar man korn på det.,x
När man ser mycket förvånad ut och bli mållös ut utan att kunna dölja det tappar man,Hakan,När man ser mycket förvånad ut och blir mållös utan att kunna dölja det tappar man hakan.,När man ser mycket förvånad ut och blir mållös utan att kunna dölja det tappar man behärskningen.,
Någon som är ointelligent eller har långsam uppfattningsförmåga är tappad bakom en,Vagn,Någon som är ointelligent eller har långsam uppfattningsförmåga är tappad bakom en vagn. ,Någon som är ointelligent eller har långsam uppfattningsförmåga är tappad bakom en tåg. ,
Någon som är van vid förhållandena är varm i ,Kläderna,Någon som är van vid förhållandena är varm i kläderna.,Någon som är van vid förhållandena är varm i skorna.,
När man vet hur man ska göra för att få resultat vet man hur en vad ska dras? ,Slipsten,När man vet hur man ska göra för att få resultat vet man hur en slipsten ska dras.,När man vet hur man ska göra för att få resultat vet man hur en sten ska dras.,
Någon som är duktig visar ,Framfötterna,Någon som är duktig visar framfötterna.,Någon som är duktig visar pannben.,
